ref,fundam_legal,beneficio,item,codigo_ncm,descricao_ncm,descr_produto,proporcao,ncm,tributos_nfe,valor_nfe
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raga Pura",-,0,01011010,11069.87,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raga Pura",Animais vivos,1,01011010,11069.87,1951154.9
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Reprodutores De Raga Pura Exc.Cavalos",-,0,01011090,12440.96,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Reprodutores De Raga Pura Exc.Cavalos",Animais vivos,1,01011090,12440.96,1420160.79
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raca Pura",-,0,01011100,32.46,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raca Pura",Animais vivos,1,01011100,32.46,3425.7
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos",-,0,01011900,735.6300000000001,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos",Animais vivos,1,01011900,735.6300000000001,11309.39
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Asininos E Muares",-,0,01012000,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Asininos E Muares",Animais vivos,1,01012000,0,1832
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Reprodutores de raça pura",-,0,01012100,12930436.79,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Reprodutores de raça pura",Animais vivos,1,01012100,12930436.79,26417118.9
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Outros",-,0,01012900,803378.9400000002,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Outros",Animais vivos,1,01012900,803378.9400000002,182340177.34
Alíquota de Referência - Demais Produtos,GERAL,-,-,01013000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Asininos",-,0,01013000,80899.38999999998,0
